order;Vereadora;partido;Ativ.Politica;Ativ.Partidaria;Filiação;Decisão Candidatura;Apoio Candidatura;Capital Político;n
a;Janaína Lima (NOVO);NOVO;Família;Próprio;Candidatura;Pessoal;Outros;Convertido;1
c;Adriana Ramalho (PSDB);PSDB;Família;Família;Candidatura;Liderança(s) Partidárias(s);Padrinho(s) Político(s);Familiar;1
d;Aline Cardoso (PSDB);PSDB;Família;Família;Pessoal;Pessoal;Padrinho(s) Político(s);Familiar;0.25
d;Aline Cardoso (PSDB);PSDB;Família;Família;Pessoal;Pessoal;Dirigentes partidários;Político/Partidário;0.25
d;Aline Cardoso (PSDB);PSDB;Família;Família;Pessoal;Pessoal;Dirigentes partidários;Familiar;0.25
d;Aline Cardoso (PSDB);PSDB;Família;Família;Pessoal;Pessoal;Dirigentes partidários;Político/Partidário;0.25
b;Edir Sales (PSD);PSD;Família;Família;Candidatura;Liderança(s) Partidárias(s);Padrinho(s) Político(s);Convertido;0.5
b;Edir Sales (PSD);PSD;Família;Família;Candidatura;Liderança(s) Partidárias(s);Padrinho(s) Político(s);Familiar;0.5
e;Juliana Cardoso (PT);PT;Família;Família;Pessoal;Liderança(s) Partidárias(s);Padrinho(s) Político(s);Político/Partidário;1
f;Sâmia Bomfim (PSOL);PSOL;Mov. Estudantil;Mov. Estudantil;Pessoal;Liderança(s) Partidárias(s);Dirigentes partidários;Político/Partidário;1
g;Isa Penna (PSOL);PSOL;Mov. Estudantil;Mov. Estudantil;Pessoal;Liderança(s) Partidárias(s);Dirigentes partidários;Político/Partidário;1
